"","minExpected","MinPlayed","Prob"
"882",29,25,0.047457
"883",29,26,0.055261
"884",29,27,0.062517
"885",29,28,0.068786
"886",29,29,0.073855
"887",29,30,0.076847
"888",29,31,0.076762
"889",29,32,0.074279
"890",29,33,0.068906
"891",29,34,0.060319
"892",29,35,0.049485
"893",29,36,0.038197
"894",29,37,0.027195
"895",29,38,0.017481
"896",29,39,0.009996
"897",29,40,0.00247
"898",29,41,0.000901
"899",29,42,0.000219
"900",29,43,4.3e-05
"901",29,44,3e-06
"902",29,45,1e-06
"903",30,1,1.9e-05
"904",30,2,2.8e-05
"905",30,3,4.6e-05
"906",30,4,5.4e-05
"907",30,5,0.000101
"908",30,6,0.00014
"909",30,7,0.000191
"910",30,8,0.000281
"911",30,9,0.000376
"912",30,10,0.000566
"913",30,11,0.000864
"914",30,12,0.001091
"915",30,13,0.001608
"916",30,14,0.002182
"917",30,15,0.003176
"918",30,16,0.004136
"919",30,17,0.005667
"920",30,18,0.007386
"921",30,19,0.009873
"922",30,20,0.012905
"923",30,21,0.016686
"924",30,22,0.021099
"925",30,23,0.026483
"926",30,24,0.03236
"927",30,25,0.039472
"928",30,26,0.046894
"929",30,27,0.05488
"930",30,28,0.062128
"931",30,29,0.068896
"932",30,30,0.074424
"933",30,31,0.077961
"934",30,32,0.078366
"935",30,33,0.075535
"936",30,34,0.070259
"937",30,35,0.061436
"938",30,36,0.050871
"939",30,37,0.03926
"940",30,38,0.027541
"941",30,39,0.017284
"942",30,40,0.00482
"943",30,41,0.001916
"944",30,42,0.000592
"945",30,43,0.000121
"946",30,44,2.5e-05
"947",30,45,1e-06
"948",31,1,1.3e-05
"949",31,2,2.3e-05
"950",31,3,2.3e-05
"951",31,4,4.8e-05
"952",31,5,5.8e-05
"953",31,6,1e-04
"954",31,7,0.000139
"955",31,8,0.000218
"956",31,9,0.000285
"957",31,10,0.000422
"958",31,11,0.000559
"959",31,12,0.000811
"960",31,13,0.001165
"961",31,14,0.001651
"962",31,15,0.00223
"963",31,16,0.002981
"964",31,17,0.004185
"965",31,18,0.005467
"966",31,19,0.007465
"967",31,20,0.009737
"968",31,21,0.012632
"969",31,22,0.016516
"970",31,23,0.020685
"971",31,24,0.025818
"972",31,25,0.032073
"973",31,26,0.039083
"974",31,27,0.046043
"975",31,28,0.054479
"976",31,29,0.06197
"977",31,30,0.06911
"978",31,31,0.074782
"979",31,32,0.078184
"980",31,33,0.079592
"981",31,34,0.077742
"982",31,35,0.072563
"983",31,36,0.063822
"984",31,37,0.052958
"985",31,38,0.04079
"986",31,39,0.028603
"987",31,40,0.008944
"988",31,41,0.00403
"989",31,42,0.001502
"990",31,43,0.000422
"991",31,44,7.3e-05
"992",31,45,4e-06
"993",32,1,9e-06
"994",32,2,1.7e-05
"995",32,3,1.9e-05
"996",32,4,4.6e-05
"997",32,5,4.9e-05
"998",32,6,9e-05
"999",32,7,9.7e-05
"1000",32,8,0.000144
"1001",32,9,0.000211
"1002",32,10,0.000285
"1003",32,11,0.000416
"1004",32,12,0.00062
"1005",32,13,0.000869
"1006",32,14,0.001108
"1007",32,15,0.001635
"1008",32,16,0.002227
"1009",32,17,0.003007
"1010",32,18,0.004003
"1011",32,19,0.005546
"1012",32,20,0.007264
