"","PlayerId","seasonYear","GameId","Date","Team","Name","Position","Starter","Min","Fg.Made","Fg.Attempted","Three.Made","Three.Attempted","FT.Made","FT.Attempted","Offensive.Rebound","Defensive.Rebound","Total.Rebounds","Assists","Steals","Blocks","Turnovers","Personal.Fouls","Plus.Minus","Points","bookmaker","id","cumMinInSeason","cumGamesPlayedInSeason","averageMinutesInSeason","lastGameMin","FirstDate","firstGame","LastDate"
"4795",6609,"2024",401655116,20240502,"MIL","K. Middleton","SF",1,38,6,15,1,4,1,1,4,4,8,3,2,0,3,5,-19,14,"","401655116_6609",1718,61,28.1639344262295,38,20231026,0,20240502
"4877",2284101,"2024",401657188,20240519,"DEN","J. Holiday","SF",0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,2,10,0,"","401657188_2284101",1011,68,14.8676470588235,9,20231024,0,20240519
"4957",2326307,"2025",401704802,20241117,"CHA","S. Curry","SG",0,9,1,4,1,2,0,0,0,1,1,0,1,0,0,0,-2,3,"","401704802_2326307",188,12,15.6666666666667,9,20241023,0,20241117
"5086",2451037,"2025",401704797,20241116,"NO","D. Theis","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704797_2451037",NA,NA,14.3636363636364,9,20241023,0,20241116
"5138",2488653,"2025",401704815,20241118,"PHX","M. Plumlee","C",1,23,3,7,0,0,2,3,5,6,11,6,0,0,3,3,-1,8,"","401704815_2488653",259,14,18.5,23,20241023,0,20241118
"5217",2489663,"2024",401585817,20240414,"TOR","K. Olynyk","PF",1,22,5,9,1,3,0,0,1,7,8,2,1,0,4,4,-13,11,"","401585817_2489663",1760,78,22.5641025641026,22,20231025,0,20240414
"5282",2490089,"2024",401658194,20240518,"OKC","M. Muscala","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401658194_2490089",NA,NA,11.7058823529412,18,20231025,0,20240518
"5397",2490149,"2025",401704692,20241030,"NO","C. McCollum","SG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704692_2490149",NA,NA,34.25,31,20241023,0,20241030
"5448",2490620,"2024",401585721,20240402,"PHI","R. Covington","PF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401585721_2490620",NA,NA,16.7931034482759,5,20231025,0,20240402
"5473",2527963,"2024",401585365,20240208,"MEM","V. Oladipo","SG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401585365_2527963",NA,NA,-1,-1,20240108,0,20240208
"5520",2528210,"2025",401704810,20241118,"DET","T. Hardaway Jr.","SF",1,30,1,10,0,8,0,0,0,1,1,3,0,0,0,0,-6,2,"","401704810_2528210",372,13,28.6153846153846,30,20241023,0,20241118
"5605",2528426,"2025",401704809,20241117,"UTAH","J. Clarkson","PG",0,30,7,17,2,11,5,5,1,3,4,2,1,0,2,0,2,21,"","401704809_2528426",288,11,26.1818181818182,30,20241023,0,20241117
"5729",2528588,"2025",401704816,20241118,"SAC","D. McDermott","SF",0,19,3,4,2,3,0,0,0,1,1,1,0,0,1,3,15,8,"","401704816_2528588",124,11,11.2727272727273,19,20241024,0,20241118
"5797",2528693,"2025",401704810,20241118,"CHI","T. Craig","SF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704810_2528693",NA,NA,5.66666666666667,11,20241023,0,20241118
"5864",2528779,"2024",401585827,20240414,"HOU","R. Bullock Jr.","SF",0,6,0,1,0,1,0,0,0,3,3,0,0,0,1,1,-1,0,"","401585827_2528779",418,44,9.5,6,20231025,0,20240414
"5928",2528794,"2024",401585360,20240207,"DET","J. Harris","SF",0,12,1,3,0,1,0,0,0,0,0,0,0,0,0,1,-5,2,"","401585360_2528794",171,16,10.6875,12,20231025,0,20240207
"6061",2530530,"2025",401704813,20241118,"IND","T.J. McConnell","PG",0,27,4,11,0,1,2,2,0,3,3,7,5,0,0,2,23,10,"","401704813_2530530",238,13,18.3076923076923,27,20241023,0,20241118
"6157",2531367,"2025",401704808,20241117,"DAL","D. Powell","C",0,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,6,1,"","401704808_2531367",110,12,9.16666666666667,4,20241024,0,20241117
"6195",2566769,"2025",401704812,20241118,"WSH","M. Brogdon","PG",1,19,3,5,0,2,1,1,1,0,1,1,0,0,1,1,-27,7,"","401704812_2566769",41,2,20.5,19,20241117,0,20241118
"6229",2578185,"2025",401704806,20241117,"BKN","D. Finney-Smith","PF",1,28,6,11,4,7,0,0,3,1,4,2,0,1,1,2,0,16,"","401704806_2578185",350,12,29.1666666666667,28,20241023,0,20241117
"6367",2578239,"2025",401704814,20241118,"MIL","P. Connaughton","SG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704814_2578239",NA,NA,17.6153846153846,21,20241023,0,20241118
"6485",2579258,"2024",401655078,20240429,"NO","C. Zeller","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401655078_2579258",NA,NA,7.57142857142857,4,20231025,0,20240429
"6558",2580365,"2025",401704816,20241118,"ATL","L. Nance Jr.","PF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704816_2580365",NA,NA,15.6666666666667,11,20241023,0,20241118
"6675",2580782,"2025",401704808,20241117,"DAL","S. Dinwiddie","PG",0,17,3,7,2,3,2,2,0,3,3,1,1,0,0,2,1,10,"","401704808_2580782",218,13,16.7692307692308,17,20241024,0,20241117
"6720",2581018,"2025",401704815,20241118,"ORL","K. Caldwell-Pope","SG",1,34,3,5,1,2,2,2,0,1,1,2,1,0,1,1,4,9,"","401704815_2581018",449,15,29.9333333333333,34,20241023,0,20241118
"6812",2581184,"2025",401704812,20241118,"WSH","A. Gill","PF",0,15,4,6,1,1,0,2,0,3,3,0,0,0,0,1,-2,9,"","401704812_2581184",40,8,5,15,20241024,0,20241118
"6938",2581190,"2025",401704811,20241118,"MIA","J. Richardson","SG",0,14,1,6,0,4,2,2,0,0,0,1,0,0,1,1,-21,4,"","401704811_2581190",149,8,18.625,14,20241023,0,20241118
"6990",2583632,"2025",401704815,20241118,"PHX","R. O'Neale","PF",0,20,1,8,0,5,0,0,1,6,7,0,0,0,1,2,-15,2,"","401704815_2583632",373,15,24.8666666666667,20,20241023,0,20241118
"7078",2594922,"2024",401636113,20240215,"UTAH","O. Porter Jr.","SF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401636113_2594922",NA,NA,11.6,8,20231025,0,20240215
"7096",2595209,"2025",401704815,20241118,"PHX","D. Lee","SG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704815_2595209",NA,NA,11.3333333333333,5,20241023,0,20241118
"7139",2595516,"2025",401704817,20241118,"LAC","N. Powell","G",1,26,9,15,5,6,0,0,0,1,1,0,1,0,4,0,3,23,"","401704817_2595516",502,15,33.4666666666667,26,20241023,0,20241118
"7220",2596107,"2025",401704816,20241118,"SAC","A. Len","C",1,17,1,2,0,1,0,0,1,2,3,1,0,3,1,2,-5,2,"","401704816_2596107",105,12,8.75,17,20241024,0,20241118
"7297",2596112,"2025",401704797,20241116,"NO","J. Green","SF",1,31,2,4,1,2,2,2,2,4,6,2,0,1,1,0,-1,7,"","401704797_2596112",328,14,23.4285714285714,31,20241023,0,20241116
"7310",2960236,"2025",401704808,20241117,"DAL","M. Kleber","PF",0,14,1,1,0,0,0,0,0,2,2,0,0,0,3,4,-7,2,"","401704808_2960236",74,5,14.8,14,20241024,0,20241117
"7367",2968436,"2025",401704800,20241117,"MIN","J. Ingles","SG",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,"","401704800_2968436",NA,NA,5.4,5,20241022,0,20241117
"7464",2982334,"2024",401672980,20240530,"MIN","T.J. Warren","SF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401672980_2982334",NA,NA,9.64285714285714,6,20240307,0,20240530
"7585",2990962,"2025",401704814,20241118,"MIL","T. Prince","PF",1,27,0,5,0,3,2,2,0,1,1,1,3,0,3,2,-12,2,"","401704814_2990962",420,14,30,27,20241023,0,20241118
"7680",2990969,"2025",401704802,20241117,"CLE","G. Niang","SF",0,26,5,11,3,7,0,0,1,1,2,1,0,1,4,1,6,13,"","401704802_2990969",289,15,19.2666666666667,26,20241023,0,20241117
"7758",2990984,"2025",401704817,20241118,"GS","B. Hield","SG",0,23,3,7,2,6,0,0,0,2,2,1,1,0,2,2,5,8,"","401704817_2990984",324,13,24.9230769230769,23,20241023,0,20241118
"7821",2990992,"2025",401703388,20241115,"MEM","M. Smart","PG",0,20,4,11,1,6,0,0,1,4,5,6,0,2,3,2,-2,9,"","401703388_2990992",141,7,20.1428571428571,20,20241023,0,20241115
"7924",2991043,"2025",401704802,20241117,"CLE","C. LeVert","SG",0,32,1,5,0,3,2,2,2,2,4,2,0,0,2,5,-6,4,"","401704802_2991043",317,13,24.3846153846154,32,20241023,0,20241117
"7957",2991047,"2024",401585350,20240206,"NY","R. Arcidiacono","G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401585350_2991047",NA,NA,2.31578947368421,2,20231025,0,20240206
"8001",2991070,"2025",401704805,20241117,"POR","J. Grant","SF",1,28,4,10,1,4,0,0,0,0,0,1,3,2,0,5,-7,9,"","401704805_2991070",462,14,33,28,20241023,0,20241117
"8100",2991139,"2025",401704817,20241118,"LAC","K. Dunn","G",1,19,3,6,1,3,0,0,0,2,2,1,1,0,3,3,6,7,"","401704817_2991139",332,15,22.1333333333333,19,20241023,0,20241118
"8189",2991155,"2024",401585343,20240205,"PHI","D. House Jr.","SF",1,12,1,4,0,2,2,2,2,3,5,0,0,0,1,3,-3,4,"","401585343_2991155",507,34,14.9117647058824,12,20231026,0,20240205
"8264",2991230,"2025",401704814,20241118,"HOU","F. VanVleet","PG",1,35,9,23,3,11,5,5,0,6,6,5,1,1,0,1,3,26,"","401704814_2991230",485,14,34.6428571428571,35,20241023,0,20241118
"8285",2991235,"2025",401704814,20241118,"HOU","S. Adams","C",0,5,1,2,0,0,0,0,1,1,2,0,0,0,1,0,-12,2,"","401704814_2991235",81,7,11.5714285714286,5,20241028,0,20241118
"8289",2991274,"2024",401584942,20231213,"MEM","S. Harrison","G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401584942_2991274",NA,NA,2,2,20231124,0,20231213
"8294",2991350,"2025",401704781,20241111,"OKC","A. Caruso","SG",0,20,4,7,2,5,2,2,1,1,2,0,1,1,1,5,-12,12,"","401704781_2991350",216,11,19.6363636363636,20,20241024,0,20241111
"8441",2993370,"2025",401704812,20241118,"WSH","R. Holmes","F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","401704812_2993370",NA,NA,4,5,20241024,0,20241118
"8523",2993874,"2025",401704817,20241118,"GS","K. Anderson","SF",0,13,1,4,0,2,0,0,0,2,2,2,1,0,0,2,-2,2,"","401704817_2993874",199,12,16.5833333333333,13,20241023,0,20241118
"8600",2999547,"2025",401704815,20241118,"ORL","G. Harris","SG",0,11,0,0,0,0,0,0,1,1,2,0,0,0,0,2,1,0,"","401704815_2999547",214,13,16.4615384615385,11,20241023,0,20241118
"8700",3032976,"2025",401704800,20241117,"MIN","R. Gobert","C",1,37,4,8,0,0,3,4,4,6,10,2,0,4,3,2,4,11,"","401704800_3032976",462,14,33,37,20241022,0,20241117
"8770",3032977,"2025",401704814,20241118,"MIL","G. Antetokounmpo","PF",1,36,9,17,0,0,2,7,2,11,13,4,0,3,8,3,-2,20,"","401704814_3032977",458,13,35.2307692307692,36,20241023,0,20241118
